"Pos","Game","Genre","Publisher","North America","Europe","Japan","Rest of World","Global","Year Release"
224,The Walking Dead: Season One,Adventure,Telltale Games,0.08,0.06,0,0.01,0.16,"2014-01-01"
225,Wolfenstein: The Old Blood,Shooter,Bethesda Softworks,0.07,0.07,0,0.01,0.15,"2015-01-01"
226,Pro Evolution Soccer 2015,Sports,Konami Digital Entertainment,0.04,0.1,0,0.01,0.15,"2014-01-01"
227,Transformer: Rise of the Dark Spark,Shooter,Activision,0.1,0.03,0,0.01,0.15,"2014-01-01"
228,The Escapists 2,Action,Sold Out,0.05,0.08,0,0.01,0.15,"2017-01-01"
229,Transformers: Devastation,Action,Activision,0.1,0.04,0,0.01,0.15,"2015-01-01"
230,Spintires: MudRunner,Simulation,Focus Home Interactive,0.11,0.02,0,0.01,0.15,"2017-01-01"
231,DmC: Devil May Cry,Action,Capcom,0.09,0.04,0,0.01,0.15,"2015-01-01"
232,Attack on Titan (KOEI),Action,Tecmo Koei,0.06,0.07,0,0.01,0.15,"2016-01-01"
233,Tony Hawk's Pro Skater 5,Sports,Activision,0.11,0.02,0,0.01,0.14,"2015-01-01"
234,Naruto Shippuden: Ultimate Ninja Storm Legacy,Fighting,Namco Bandai Games,0.11,0.02,0,0.01,0.14,"2017-01-01"
235,The Walking Dead: Season Two,Misc,Telltale Games,0.08,0.05,0,0.01,0.14,"2014-01-01"
236,Resident Evil: Revelations 2,Action,Capcom,0.1,0.02,0,0.01,0.14,"2015-01-01"
237,Dishonored: Death of the Outsider,Action,Bethesda Softworks,0.07,0.06,0,0.01,0.14,"2017-01-01"
238,Ultimate Marvel vs. Capcom 3,Fighting,Capcom,0.12,0,0,0.01,0.14,"2017-01-01"
239,The Elder Scrolls Online: Morrowind,MMO,Bethesda Softworks,0.09,0.03,0,0.01,0.14,"2017-01-01"
240,Hasbro Family Fun Pack,Misc,Ubisoft,0.1,0.02,0,0.01,0.13,"2015-01-01"
241,Rocksmith 2014 Edition Remastered,Music,Ubisoft,0.12,0,0,0.01,0.13,"2016-01-01"
242,Song of the Deep,Action,Insomniac Games,0.12,0,0,0.01,0.13,"2016-01-01"
243,NBA Live 16,Sports,EA Sports,0.11,0.01,0,0.01,0.13,"2015-01-01"
