"Game_ID","Game_Name","Genre"
659,Bakumatsu Rock: Ultra Soul,Misc
660,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,Racing
661,Bakusou Kyoudai Let's & Go!! Eternal Wings,Racing
662,Baldur's Gate: Dark Alliance,Role-Playing
663,Baldur's Gate: Dark Alliance II,Role-Playing
664,Ball Breakers,Action
665,Ballblazer Champions,Sports
666,Ballistic,Puzzle
667,Ballistic: Ecks vs. Sever,Shooter
668,Balloon Fight,Platform
669,Balloon Pop,Puzzle
670,Balloon Pop 2,Puzzle
671,Balls of Fury,Sports
672,Band Hero,Misc
673,Bangai-O Spirits,Shooter
674,Banjo-Kazooie,Platform
675,Banjo-Kazooie: Grunty's Revenge,Platform
676,Banjo-Kazooie: Nuts & Bolts,Platform
677,Banjo-Pilot,Racing
678,Banjo-Tooie,Platform
679,Bank Heist,Action
680,Banushi Life Game: Winner's Circle,Sports
681,Barbarian,Fighting
682,Barbie Explorer,Platform
683,Barbie Fashion Show: An Eye for Style,Misc
684,Barbie Groovy Games,Misc
685,Barbie Horse Adventures: Blue Ribbon Race,Sports
686,Barbie Horse Adventures: Riding Camp,Sports
